Configuration, Workload, Subworkload, Iteration, Parameters, ScoreName, ScoreValue
default,Mlc,Latency_matrix,0,,Skt0-Skt0,81.5
default,Mlc,Latency_matrix,0,,Skt0-Skt1,131.7
default,Mlc,Latency_matrix,0,,Skt1-Skt0,131.9
default,Mlc,Latency_matrix,0,,Skt1-Skt1,80.7
default,Mlc,Bandwidth_matrix,0,,Skt0-Skt0,68390.9
default,Mlc,Bandwidth_matrix,0,,Skt0-Skt1,30198.1
default,Mlc,Bandwidth_matrix,0,,Skt1-Skt0,30175.2
default,Mlc,Bandwidth_matrix,0,,Skt1-Skt1,68450.1
default,Mlc,Peak_bandwidth,0,,ALL Reads,135693.5
default,Mlc,Peak_bandwidth,0,,3:1 Reads-Writes,117539.7
default,Mlc,Peak_bandwidth,0,,2:1 Reads-Writes,109683.6
default,Mlc,Peak_bandwidth,0,,1:1 Reads-Writes ,107657.8
default,Mlc,Peak_bandwidth,0,,Stream-triad,110034.2
default,Mlc,idle_latency,0,,core clocks,172.4
default,Mlc,idle_latency,0,,Latency(ns),	78.5
default,Mlc,loaded_latency,0,,00000_lat(ns),262.75
default,Mlc,loaded_latency,0,,00002_lat(ns),261.91
default,Mlc,loaded_latency,0,,00008_lat(ns),258.69
default,Mlc,loaded_latency,0,,00015_lat(ns),256.48
default,Mlc,loaded_latency,0,,00050_lat(ns),244.63
default,Mlc,loaded_latency,0,,00100_lat(ns),235.91
default,Mlc,loaded_latency,0,,00200_lat(ns),166.32
default,Mlc,loaded_latency,0,,00300_lat(ns),114.34
default,Mlc,loaded_latency,0,,00400_lat(ns),103.10
default,Mlc,loaded_latency,0,,00500_lat(ns),98.14
default,Mlc,loaded_latency,0,,00700_lat(ns),93.20
default,Mlc,loaded_latency,0,,01000_lat(ns),89.96
default,Mlc,loaded_latency,0,,01300_lat(ns),88.51
default,Mlc,loaded_latency,0,,01700_lat(ns),87.34
default,Mlc,loaded_latency,0,,02500_lat(ns),85.52
default,Mlc,loaded_latency,0,,03500_lat(ns),84.33
default,Mlc,loaded_latency,0,,05000_lat(ns),83.80
